typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20240201,2024,2,202402,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,153,FALSE,5,u,1040,FALSE,153,FALSE,0,FALSE,,3854.68,3854.68,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,273458.345,FALSE,-1,N/A,0,FALSE,273454.125,FALSE,0,FALSE,4850887.289,4620918.65,4850887.289,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,80145.12,FALSE,5,u,732522.27,FALSE,80145.12,FALSE,0,FALSE,,478489.82,478489.82,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,25281.956,FALSE,-1,N/A,0,FALSE,25277.736,FALSE,0,FALSE,846853.316,750033.149,846853.316,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,3015.18,FALSE,5,u,12793,FALSE,3015.18,FALSE,0,FALSE,,41221.17,41221.17,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,214963.801,FALSE,5,u,900345.3,FALSE,214963.801,FALSE,0,FALSE,3436196.692,3310994.902,3436196.692,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,76085.96,FALSE,5,u,716879.27,FALSE,76085.96,FALSE,0,FALSE,,420117.75,420117.75,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,33212.588,FALSE,5,u,96466,FALSE,33212.588,FALSE,0,FALSE,567837.281,559890.599,567837.281,0,FALSE,TRUE
C,M,20240301,2024,3,202403,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,1043.98,FALSE,5,u,2850,FALSE,1043.98,FALSE,0,FALSE,,17150.9,17150.9,0,FALSE,TRUE
C,M,20240401,2024,4,202404,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,213889.552,FALSE,-1,N/A,0,FALSE,213888.652,FALSE,0,FALSE,3239646.03,3081171.52,3239646.03,0,FALSE,TRUE
